Leeftijd,Gewicht,Brandstof,Aantal zitplaatsen,Aantal wielen,Aantal deuren,Voertuigsoort
36,440,Geen,0,2,0,Aanhangwagen
8,1564,Benzine,5,4,4,Personenauto
2,217,Benzine,2,2,0,Motorfiets
7,13250,Diesel,51,4,4,Bus
7,11437,Diesel,30,4,3,Bus
10,1160,Geen,0,2,0,Aanhangwagen
5,11335,Diesel,46,6,2,Bus
2,18788,Diesel,51,6,2,Bus
8,1140,Benzine,5,4,4,Personenauto
27,1002,Geen,0,2,0,Aanhangwagen
13,140,Benzine,2,2,0,Motorfiets
14,165,Benzine,2,2,0,Motorfiets
11,8876,Diesel,42,4,6,Bus
4,206,Benzine,2,2,0,Motorfiets
13,681,Geen,0,2,0,Aanhangwagen
16,1010,Geen,0,4,0,Aanhangwagen
20,910,Benzine,5,4,2,Personenauto
1,13100,Elektriciteit,43,6,3,Bus
14,1290,Benzine,5,4,4,Personenauto
24,740,Geen,0,2,0,Aanhangwagen
9,2750,Diesel,17,4,2,Bus
4,196,Benzine,2,2,0,Motorfiets
9,12165,Diesel,46,4,3,Bus
17,198,Benzine,2,2,0,Motorfiets
13,10600,Geen,0,2,0,Aanhangwagen
1,13650,Elektriciteit,44,6,4,Bus
25,840,Geen,0,2,0,Aanhangwagen
3,15769,CNG,56,8,2,Bus
9,8945,Diesel,41,4,4,Bus
9,9000,Diesel,38,4,6,Bus
2,206,Benzine,2,2,0,Motorfiets
14,335,Geen,0,2,0,Aanhangwagen
3,11450,Diesel,44,6,2,Bus
12,206,Benzine,2,2,0,Motorfiets
11,19110,Diesel,91,6,4,Bus
8,1274,Diesel,5,4,4,Personenauto
28,906,Geen,0,2,0,Aanhangwagen
54,8540,Diesel,53,4,2,Bus
14,204,Benzine,2,2,0,Motorfiets
1,205,Benzine,2,2,0,Motorfiets
14,1375,Benzine,5,4,4,Personenauto
12,610,Geen,0,2,0,Aanhangwagen
3,191,Benzine,2,2,0,Motorfiets
1,1390,Benzine,5,4,5,Personenauto
14,214,Benzine,2,2,0,Motorfiets
33,617,Geen,0,2,0,Aanhangwagen
32,480,Geen,0,2,0,Aanhangwagen
14,8728,Diesel,41,4,2,Bus
16,823,LPG,4,4,4,Personenauto
8,1046,Diesel,5,4,4,Personenauto
17,1225,Benzine,2,4,2,Personenauto
1,3260,Diesel,24,4,2,Bus
41,620,Geen,0,2,0,Aanhangwagen
2,11980,CNG,36,6,2,Bus
21,855,Geen,0,2,0,Aanhangwagen
18,860,Geen,0,2,0,Aanhangwagen
0,1148,Elektriciteit,4,4,5,Personenauto
3,11450,Diesel,44,6,2,Bus
3,13665,Diesel,55,6,2,Bus
30,740,Geen,0,2,0,Aanhangwagen
15,319,Benzine,2,2,0,Motorfiets
1,211,Benzine,2,2,0,Motorfiets
7,965,Benzine,5,4,4,Personenauto
44,723,Geen,0,2,0,Aanhangwagen
15,945,Benzine,4,4,2,Personenauto
13,1289,LPG,5,4,4,Personenauto
12,191,Benzine,2,2,0,Motorfiets
33,9810,Diesel,31,4,2,Bus
38,288,Geen,0,2,0,Aanhangwagen
2,12750,Elektriciteit,43,6,3,Bus
17,962,Benzine,4,4,2,Personenauto
15,290,Geen,0,2,0,Aanhangwagen
6,1295,Benzine,5,4,5,Personenauto
6,1155,Benzine,5,4,4,Personenauto
8,3410,Diesel,17,4,4,Bus
24,320,Geen,0,2,0,Aanhangwagen
3,214,Benzine,2,2,0,Motorfiets
41,747,Geen,0,2,0,Aanhangwagen
12,214,Benzine,2,2,0,Motorfiets
22,690,Geen,0,2,0,Aanhangwagen
5,1310,Benzine,5,4,4,Personenauto
6,3063,Diesel,18,4,2,Bus
20,790,Geen,0,2,0,Aanhangwagen
27,906,Geen,0,2,0,Aanhangwagen
20,993,Benzine,5,4,2,Personenauto
15,138,Benzine,2,2,0,Motorfiets
25,520,Geen,0,2,0,Aanhangwagen
7,250,Benzine,2,2,0,Motorfiets
29,657,Geen,0,2,0,Aanhangwagen
2,285,Benzine,2,2,0,Motorfiets
12,195,Benzine,2,2,0,Motorfiets
37,330,Geen,0,2,0,Aanhangwagen
6,1405,Benzine,5,4,4,Personenauto
11,930,Benzine,5,4,4,Personenauto
11,320,Geen,0,2,0,Aanhangwagen
14,234,Benzine,2,2,0,Motorfiets
14,12800,Diesel,57,4,2,Bus
21,1020,Geen,0,2,0,Aanhangwagen
16,1350,Geen,0,2,0,Aanhangwagen
10,183,Benzine,2,2,0,Motorfiets
14,180,Benzine,2,2,0,Motorfiets
14,8783,Diesel,44,4,3,Bus
13,17160,Diesel,48,6,3,Bus
11,500,Geen,0,2,0,Aanhangwagen
10,1179,Benzine,5,4,4,Personenauto
20,780,Geen,0,4,0,Aanhangwagen
28,717,Geen,0,2,0,Aanhangwagen
15,180,Benzine,2,2,0,Motorfiets
1,3673,Diesel,24,6,2,Bus
14,15430,Diesel,57,6,2,Bus
29,606,Geen,0,2,0,Aanhangwagen
5,11280,Diesel,41,6,2,Bus
9,249,Benzine,2,2,0,Motorfiets
0,110,Benzine,1,2,0,Motorfiets
1,21285,Elektriciteit,45,10,6,Bus
14,1573,Benzine,5,4,4,Personenauto
2,13595,Elektriciteit,34,6,4,Bus
6,13325,Diesel,55,4,3,Bus
15,168,Benzine,2,2,0,Motorfiets
15,320,Geen,0,2,0,Aanhangwagen
9,216,Benzine,2,2,0,Motorfiets
23,1005,Benzine,5,4,4,Personenauto
10,885,Benzine,5,4,4,Personenauto
13,1402,Benzine,5,4,2,Personenauto
15,275,Geen,0,2,0,Aanhangwagen
10,954,Benzine,5,4,4,Personenauto
13,234,Benzine,2,2,0,Motorfiets
18,1070,Geen,0,2,0,Aanhangwagen
29,866,Geen,0,2,0,Aanhangwagen
6,1007,Benzine,5,4,4,Personenauto
1,1656,Elektriciteit,5,4,4,Personenauto
4,17380,Diesel,88,8,2,Bus
34,400,Geen,0,2,0,Aanhangwagen
6,15303,Diesel,51,6,2,Bus
16,182,Benzine,2,2,0,Motorfiets
4,299,Benzine,2,2,0,Motorfiets
13,630,Geen,0,2,0,Aanhangwagen
16,1223,Benzine,5,4,4,Personenauto
14,16080,Diesel,63,6,6,Bus
8,11500,Diesel,34,4,3,Bus
14,300,Geen,0,2,0,Aanhangwagen
32,310,Geen,0,2,0,Aanhangwagen
28,751,Geen,0,2,0,Aanhangwagen
42,730,Geen,0,2,0,Aanhangwagen
9,950,Benzine,5,4,4,Personenauto
7,960,Benzine,5,4,4,Personenauto
14,12760,Diesel,54,4,2,Bus
10,885,Benzine,5,4,4,Personenauto
17,194,Benzine,2,2,0,Motorfiets
8,1400,LPG,5,4,4,Personenauto
24,980,Geen,0,2,0,Aanhangwagen
30,480,Geen,0,2,0,Aanhangwagen
12,1261,Benzine,5,4,4,Personenauto
2,12455,Elektriciteit,39,6,4,Bus
15,178,Benzine,2,2,0,Motorfiets
24,1030,Geen,0,4,0,Aanhangwagen
1,13340,Waterstof,35,6,2,Bus
0,153,Benzine,2,2,0,Motorfiets
15,1480,Benzine,5,4,5,Personenauto
3,20495,Elektriciteit,50,10,4,Bus
14,1251,Benzine,5,4,4,Personenauto
2,12455,Elektriciteit,39,6,4,Bus
8,16306,Diesel,42,6,4,Bus
10,10950,Diesel,32,4,2,Bus
5,945,Benzine,4,4,2,Personenauto
40,820,Geen,0,2,0,Aanhangwagen
21,920,Geen,0,2,0,Aanhangwagen
2,12455,Diesel,39,6,4,Bus
12,206,Benzine,2,2,0,Motorfiets
1,2345,Elektriciteit,5,4,4,Personenauto
12,840,Benzine,4,4,2,Personenauto
4,257,Benzine,2,2,0,Motorfiets
7,1495,Diesel,5,4,4,Personenauto
21,1600,Geen,0,2,0,Aanhangwagen
5,18750,Diesel,91,6,3,Bus
28,560,Geen,0,6,0,Aanhangwagen
27,590,Geen,0,2,0,Aanhangwagen
4,1177,Benzine,5,4,4,Personenauto
0,13290,Diesel,65,6,2,Bus
12,175,Benzine,2,2,0,Motorfiets
2,12455,Diesel,39,6,4,Bus
0,815,Benzine,4,4,4,Personenauto
6,1260,Benzine,5,4,4,Personenauto
15,15670,Diesel,61,6,4,Bus
16,209,Benzine,2,2,0,Motorfiets
3,246,Benzine,2,2,0,Motorfiets
20,945,Geen,0,2,0,Aanhangwagen
40,890,Geen,0,2,0,Aanhangwagen
8,182,Benzine,2,2,0,Motorfiets
12,925,Benzine,5,4,2,Personenauto
3,4773,Diesel,31,6,2,Bus
15,1060,Geen,0,2,0,Aanhangwagen
19,1553,Benzine,7,4,4,Personenauto
29,234,Geen,0,2,0,Aanhangwagen
3,12750,Elektriciteit,32,6,6,Bus
1,1177,Benzine,5,4,4,Personenauto
0,1351,Elektriciteit,5,4,5,Personenauto
6,18270,Elektriciteit,45,6,2,Bus
2,21235,Elektriciteit,45,10,6,Bus
10,12340,Diesel,61,4,3,Bus
4,180,Benzine,2,2,0,Motorfiets
27,560,Geen,0,2,0,Aanhangwagen
8,840,Benzine,4,4,2,Personenauto
19,1365,Benzine,5,4,4,Personenauto
13,11430,Diesel,34,4,4,Bus
17,1255,Benzine,4,4,2,Personenauto
5,1290,Benzine,5,4,4,Personenauto
14,460,Geen,0,2,0,Aanhangwagen
8,242,Benzine,2,2,0,Motorfiets
10,192,Benzine,2,2,0,Motorfiets
14,8783,Diesel,41,4,2,Bus
27,2040,Geen,0,2,0,Aanhangwagen
5,1280,Benzine,5,4,4,Personenauto
11,1175,Benzine,5,4,4,Personenauto
10,18950,Diesel,91,6,3,Bus
7,945,Benzine,5,4,4,Personenauto
12,270,Geen,0,2,0,Aanhangwagen
2,242,Benzine,2,2,0,Motorfiets
3,184,Benzine,2,2,0,Motorfiets
2,17241,CNG,48,10,3,Bus
11,265,Benzine,2,2,0,Motorfiets
0,1430,Benzine,5,4,4,Personenauto
3,240,Benzine,2,2,0,Motorfiets
